"Lon","Lat","Area_km2","Eastings","Northings","Depth_m","REP_AREA","STRATUM","LOG10_DEPTH_M","LOG10_DEPTH_M_CEN"
-152.9489,57.3143569,13.37095311,63177.5754779328,812651.775724976,74.5477981567383,"630",37,1.87243482065957,-0.894038252407349
-152.57925,57.3106525,13.719616,85401.7126155351,812651.777394212,64.3285522460938,"630",37,1.80840377744408,-1.12663402267698
-152.51765,57.3099274,13.719616,89105.7118676819,812651.776906714,100.806381225586,"630",38,2.00348802460299,-0.417981337092992
-152.45605,57.3091715,13.719616,92809.8645290718,812651.776174382,84.0475082397461,"630",38,1.92452484241832,-0.704818803122931
-152.39446,57.3083849,13.719616,96513.5756939704,812651.772196286,68.7784729003906,"630",37,1.83745252888209,-1.02111306945188
-152.33286,57.3075675,13.719616,100218.054009011,812651.782704572,47.5,"630",36,1.67669360962487,-1.60507739010982
-152.27128,57.3067193,13.719616,103921.502814357,812651.762828583,67.2886581420898,"630",37,1.82794186776917,-1.05566099240059
-152.20969,57.3058404,13.719616,107625.731216468,812651.769416131,72.4218063354492,"630",37,1.85986935273361,-0.939682904505233
-152.14811,57.3049308,13.719616,111329.543534342,812651.77104315,75,"630",37,1.8750612633917,-0.884497575890585
-152.08653,57.3039904,13.719616,115033.547441819,812651.772643465,76.7754974365234,"630",38,1.88522263896385,-0.847585902122446
-152.02495,57.3030192,13.719616,118737.74931005,812651.77467818,75.2357482910156,"630",37,1.87642424480067,-0.879546481940487
-151.96338,57.3020173,13.719616,122441.554155723,812651.770345575,74.945198059082,"630",37,1.87474381165725,-0.885650734218004
-151.90181,57.3009846,13.719616,126145.569681292,812651.766298677,68.2378005981445,"630",37,1.8340250204531,-1.03356365471668
-151.84024,57.2999212,13.719616,129849.801892388,812651.774202058,63.0453453063965,"630",37,1.79965302774701,-1.15842153173534
-151.77868,57.2988271,13.719616,133553.656114401,812651.774465819,63.2183570861816,"630",37,1.80084320523851,-1.15409815612733
-151.71712,57.2977022,13.719616,137257.74007816,812651.775462248,58.6905403137207,"630",37,1.76856810771066,-1.27133896297711
-151.65556,57.2965466,13.719616,140962.059755518,812651.788899925,63.0179862976074,"630",37,1.799464521437,-1.15910628975543
-151.59401,57.2953602,13.719616,144666.020873441,812651.78240378,69.9948196411133,"630",37,1.84506589880667,-0.993457145808809
-151.53247,57.2941431,13.719616,148369.629381144,812651.766038401,69.4011154174805,"630",37,1.84136645050909,-1.00689556541181
-151.47093,57.2928953,13.719616,152073.492621851,812651.761624612,84.7735977172852,"630",38,1.9282606146261,-0.691248435211009
-151.40939,57.2916168,13.719616,155777.616926428,812651.769772485,106.064018249512,"630",38,2.02556807639873,-0.337774512447934
-151.34785,57.2903075,13.719616,159482.009070391,812651.779951898,154.615829467773,"630",136,2.18925395464429,0.256822124134439
-151.28632,57.2889676,13.719616,163186.073490011,812651.790541613,151.262725830078,"630",136,2.17973192233468,0.222232894779993
-151.2248,57.2875969,13.719616,166889.817414656,812651.77821338,130.245498657227,"630",135,2.1147627228191,-0.0137707722893432
-151.16328,57.2861955,13.719616,170593.847736364,812651.778806678,92.328010559082,"630",38,1.96533347768646,-0.556579519844323
-151.10177,57.2847634,13.719616,174297.569769087,812651.766761042,94.6261367797852,"630",38,1.97601110988432,-0.517792519648817
-151.04026,57.2833006,13.719616,178001.590848226,812651.767906024,101.75511932373,"630",38,2.00755626790334,-0.403203252330168
-150.97875,57.2818071,13.719616,181705.91729664,812651.782956318,118.116607666016,"630",38,2.07231096544267,-0.167978773758903
-150.91725,57.2802829,13.719616,185409.95442462,812651.784722973,110.809463500977,"630",38,2.04457685218616,-0.268724242077044
-150.85576,57.278728,13.719616,189113.708552506,812651.772277272,118.532318115234,"630",38,2.07383677790326,-0.162436188370045
-150.79427,57.2771424,13.719616,192817.787010664,812651.773739369,167.058563232422,"630",136,2.22286874198715,0.378929417125914
-150.73279,57.2755262,13.719616,196521.594556488,812651.77144225,384.382232666016,"630",136,2.58476330502814,1.69352840567649
-150.67131,57.2738792,13.719616,200225.739605365,812651.7723499,508.412689208984,"630",136,2.70621638134828,2.13471240674344
-150.60984,57.2722016,13.719616,203929.626352636,812651.768859494,611.505126953125,"630",136,2.78640010257936,2.42598353815491
-135.33707,55.8579999,13.719616,1152153.81323224,812651.783587571,564,"650",352,2.75127910398334,2.29840486208072
-135.2802,55.8487696,13.719616,1155857.50656034,812651.697143922,592,"650",352,2.77232170672292,2.37484310432861
-135.22335,55.8395118,13.719616,1159561.6942932,812651.747151559,319,"650",352,2.50379068305718,1.3993915552943
-135.16653,55.8302266,13.719616,1163265.77665778,812651.769563998,194,"650",152,2.28780172993023,0.614801543958242
