"STRATUM","DEPTH_M","X","Y","LON","LAT","AREA_KM2"
211,408.554840087891,-573.183643430817,5950.88835068239,-168.912258766021,52.6300188762335,13.3495286936998
211,496.537567138672,-569.759933881373,5950.87534316351,-168.863855952535,52.6371240629555,11.2216533293739
211,237.612579345703,-649.189029827543,5954.29254396515,-169.997541912638,52.4982852362178,0.5469884336856
211,243.260879516602,-647.263643430817,5953.81884871975,-169.972232736962,52.512077362783,13.0147732677737
113,168.264877319336,-643.559643430817,5954.59235068239,-169.920646363251,52.5199501473252,13.2990014403839
113,212.749298095703,-639.855643430817,5954.59235068239,-169.868410774564,52.527630347669,13.3017343740673
113,215.032043457031,-636.151643430817,5954.59235068239,-169.816151624496,52.5352882593012,13.3044591850748
113,174.658950805664,-632.447643430817,5954.59235068239,-169.763868967418,52.5429238584205,13.3071758663549
113,126.804191589355,-628.743643430817,5954.59235068239,-169.711562857883,52.5505371212758,13.3098844110022
15,122.792839050293,-625.039643430817,5954.59235068239,-169.659233350631,52.5581280241661,13.3125848120031
15,124.280723571777,-621.335643430817,5954.59235068239,-169.606880500586,52.5656965434407,13.3152770624237
113,126.261222839355,-617.631643430817,5954.59235068239,-169.554504362856,52.5732426554997,13.3179611553993
113,159.229888916016,-613.927643430817,5954.59235068239,-169.502104992735,52.5807663367941,13.3206370839834
211,287.298736572266,-610.223643430817,5954.59235068239,-169.4496824457,52.5882675638258,13.3233048412819
211,227.866714477539,-606.519643430817,5954.59235068239,-169.397236777414,52.5957463131482,13.3259644204721
113,191.124526977539,-602.815643430817,5954.59235068239,-169.344768043722,52.6032025613662,13.3286158146982
113,145.443206787109,-599.111643430817,5954.59235068239,-169.292276300655,52.6106362851364,13.3312590171261
113,162.134552001953,-595.407643430817,5954.59235068239,-169.239761604425,52.6180474611675,13.333894020956
113,190.981353759766,-591.703643430817,5954.59235068239,-169.18722401143,52.6254360662203,13.3365208194332
113,136.779632568359,-587.999643430817,5954.59235068239,-169.13466357825,52.6328020771081,13.3391394057169
113,133.152145385742,-584.295643430817,5954.59235068239,-169.082080361649,52.6401454706968,13.3417497731428
113,198.63346862793,-580.591643430817,5954.59235068239,-169.029474418573,52.6474662239054,13.3443519149427
113,141.426086425781,-576.887643430817,5954.59235068239,-168.976845806153,52.6547643137057,13.3469458243923
113,150.539627075195,-573.183643430817,5954.59235068239,-168.924194581699,52.6620397171232,13.3495314948053
211,273.512084960938,-569.861023572532,5954.02746056926,-168.875205804413,52.6695301732085,11.5190615542218
211,673.435119628906,-567.301774400905,5956.11635632632,-168.844023221895,52.6879282412187,0.424515482088432
211,651.174682617188,-562.631659797919,5956.33247645269,-168.779880030389,52.6976866820739,0.28557691599834
113,211.097961425781,-646.851210396704,5958.29635068239,-169.979532325882,52.5441025001733,10.3354761760746
